29.4,70.0,1011.22,112.0,368.0,Safe
29.4,70.0,1011.28,112.0,368.0,Safe
29.4,70.0,1011.19,112.0,369.0,Safe
29.4,71.0,1011.18,112.0,367.0,Safe
29.4,71.0,1011.23,112.0,371.0,Safe
29.4,70.0,1011.27,112.0,371.0,Safe
29.4,70.0,1011.26,112.0,370.0,Safe
29.4,71.0,1011.22,112.0,371.0,Safe
29.4,71.0,1011.25,112.0,366.0,Safe
29.4,71.0,1011.27,112.0,372.0,Safe
29.4,70.0,1011.23,112.0,367.0,Safe
29.4,71.0,1011.24,112.0,367.0,Safe
29.4,71.0,1011.27,112.0,371.0,Safe
29.4,71.0,1011.24,111.0,369.0,Safe
29.4,71.0,1011.24,111.0,369.0,Safe
29.4,70.0,1011.28,112.0,369.0,Safe
29.4,71.0,1011.21,112.0,366.0,Safe
29.4,71.0,1011.27,112.0,371.0,Safe
29.4,70.0,1011.26,112.0,366.0,Safe
29.4,70.0,1011.29,112.0,368.0,Safe
29.4,71.0,1011.3,112.0,372.0,Safe
29.4,70.0,1011.27,112.0,369.0,Safe
29.4,71.0,1011.26,112.0,374.0,Safe
29.4,70.0,1011.24,112.0,369.0,Safe
29.4,71.0,1011.31,111.0,365.0,Safe
29.4,71.0,1011.2,111.0,371.0,Safe
29.4,71.0,1011.25,112.0,370.0,Safe
29.4,70.0,1011.27,112.0,371.0,Safe
29.4,70.0,1011.33,112.0,367.0,Safe
29.4,70.0,1011.24,112.0,368.0,Safe
29.4,70.0,1011.3,112.0,371.0,Safe
29.4,71.0,1011.29,111.0,368.0,Safe
29.4,71.0,1011.35,112.0,375.0,Safe
29.4,71.0,1011.27,112.0,369.0,Safe
29.4,70.0,1011.21,112.0,366.0,Safe
29.4,70.0,1011.25,112.0,371.0,Safe
29.4,70.0,1011.3,112.0,367.0,Safe
29.4,71.0,1011.32,111.0,372.0,Safe
29.4,71.0,1011.27,112.0,370.0,Safe
29.4,71.0,1011.33,109.0,367.0,Safe
29.4,71.0,1011.37,111.0,369.0,Safe
29.4,71.0,1011.34,111.0,368.0,Safe
